Распределение языков по количеству проектов (snapshot=2025-10-01, min_share=0.05):
Shell                       68 проектов                                           
PHP                         45 проектов                                           
Python                      42 проектов
JavaScript                  39 проектов
HTML                        31 проектов
TypeScript                  31 проектов
C                           28 проектов
C++                         24 проектов
Ruby                        23 проектов
CSS                         21 проектов
TSX                         19 проектов
Go                          12 проектов
Vue                         11 проектов
Java                         8 проектов
Makefile                     8 проектов
Dockerfile                   7 проектов
C#                           5 проектов
SCSS                         5 проектов
Vim Script                   5 проектов
Dart                         4 проектов

Всего уникальных проектов в снапшоте: 255
